dataset,movement,frequency_folder_cat,frequency_folder_mean,hz,participant,condition,n_edges,spearman_rho,spearman_p,cat_file_dir,mean_file_dir
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JDC,AntiL,496,0.7418702832832773,8.683777392670956e-88,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/JDC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JDC,AntiR,496,0.7418702832832773,8.683777392670956e-88,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/JDC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JFXD,ProL,496,0.8021092340946953,1.109633902683838e-112,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JFXD,ProR,496,0.8021092340946953,1.109633902683838e-112,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JFXD,AntiL,496,0.7509626675006047,4.4185075782494964e-91,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JFXD,AntiR,496,0.7509626675006047,4.4185075782494964e-91,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JZ,ProL,496,0.6856765224779763,3.8288451013792735e-70,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/JZ
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JZ,ProR,496,0.6856765224779763,3.8288451013792735e-70,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/JZ
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JZ,AntiL,496,0.7205500844755729,1.390903757229569e-80,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/JZ
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JZ,AntiR,496,0.7205500844755729,1.390903757229569e-80,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/JZ
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,LT,ProL,496,0.7249186221925886,5.278876989135542e-82,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/LT
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,LT,ProR,496,0.7249186221925886,5.278876989135542e-82,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/LT
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,LT,AntiL,496,0.7117949141574765,8.138349816558425e-78,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/LT
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,LT,AntiR,496,0.7117949141574765,8.138349816558425e-78,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/LT
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,NvA,ProL,496,0.6604660219380801,1.814892558951669e-63,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/NvA
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,NvA,ProR,496,0.6604660219380801,1.814892558951669e-63,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/NvA
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,NvA,AntiL,496,0.6916360332080459,8.027044871032769e-72,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/NvA
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,NvA,AntiR,496,0.6916360332080459,8.027044871032769e-72,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/NvA
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,RR,ProL,496,0.6680840664711631,2.0451110332400303e-65,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/RR
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,RR,ProR,496,0.6680840664711631,2.0451110332400303e-65,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/RR
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,RR,AntiL,496,0.6775478875206271,6.43441229200617e-68,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/RR
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,RR,AntiR,496,0.6775478875206271,6.43441229200617e-68,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/RR
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,SJB,ProL,496,0.6805441643015472,9.921975159204397e-69,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/SJB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,SJB,ProR,496,0.6805441643015472,9.921975159204397e-69,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/SJB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,SJB,AntiL,496,0.6444992535860323,1.453240298894023e-59,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/SJB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,SJB,AntiR,496,0.6444992535860323,1.453240298894023e-59,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/SJB
