dataset,movement,frequency_folder_cat,frequency_folder_mean,hz,participant,condition,n_edges,spearman_rho,spearman_p,cat_file_dir,mean_file_dir
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,LT,AntiR,496,0.8910987921664887,1.2594817209013102e-171,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/LT
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,NvA,ProL,496,0.8454076364344424,1.20694762932823e-136,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/NvA
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,NvA,ProR,496,0.8454076364344424,1.20694762932823e-136,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/NvA
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,NvA,AntiL,496,0.8213877595976642,1.5182888772541102e-122,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/NvA
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,NvA,AntiR,496,0.8213877595976642,1.5182888772541102e-122,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/NvA,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/NvA
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,RR,ProL,496,0.8150261294059568,3.660838095241327e-119,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/RR
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,RR,ProR,496,0.8150261294059568,3.660838095241327e-119,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/RR
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,RR,AntiL,496,0.7747565549700943,2.029901690259342e-100,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/RR
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,RR,AntiR,496,0.7747565549700943,2.029901690259342e-100,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/RR,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/RR
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,SJB,ProL,496,0.8286374158932087,1.4416632615082118e-126,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/SJB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,SJB,ProR,496,0.8286374158932087,1.4416632615082118e-126,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/SJB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,SJB,AntiL,496,0.8524226492877106,3.188171433808813e-141,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/SJB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,SJB,AntiR,496,0.8524226492877106,3.188171433808813e-141,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/SJB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/SJB
