Frequency,Region_From,Region_To,W_Stat,P_value
10Hz,PMv-R,IPL-L,1.0,0.0039
10Hz,PMv-R,IPL-L,8.0,0.0488
10Hz,POJ-R,mIPS-R,8.0,0.0488
10Hz,S1-R,PMd-R,8.0,0.0488
10Hz,S1-R,SPL-R,8.0,0.0488
10Hz,S1-R,V3-R,2.0,0.0059
10Hz,S1-R,V3-R,5.0,0.0195
10Hz,S1-R,mIPS-R,6.0,0.0273
10Hz,S1-R,mIPS-R,5.0,0.0195
10Hz,SMA-L,PMv-L,3.0,0.0098
10Hz,SMA-L,PMv-L,7.0,0.0371
10Hz,SMA-R,M1-L,8.0,0.0488
10Hz,SMA-R,STS-R,3.0,0.0098
10Hz,SMA-R,STS-R,8.0,0.0488
10Hz,SPL-L,IPL-R,5.0,0.0195
10Hz,SPL-L,STS-L,2.0,0.0059
10Hz,SPL-L,STS-L,3.0,0.0098
10Hz,SPL-R,SPOC-R,5.0,0.0195
10Hz,SPL-R,SPOC-R,7.0,0.0371
10Hz,SPOC-L,FEF-R,5.0,0.0195
10Hz,SPOC-L,FEF-R,2.0,0.0059
10Hz,SPOC-L,PMd-L,7.0,0.0371
10Hz,SPOC-L,PMd-L,7.0,0.0371
10Hz,SPOC-R,SPL-L,1.0,0.0039
10Hz,SPOC-R,SPL-L,2.0,0.0059
10Hz,SPOC-R,V1-L,7.0,0.0371
10Hz,STS-L,PMd-R,7.0,0.0371
10Hz,STS-R,POJ-R,5.0,0.0195
10Hz,STS-R,POJ-R,7.0,0.0371
10Hz,STS-R,mIPS-R,5.0,0.0195
10Hz,STS-R,mIPS-R,6.0,0.0273
10Hz,V1-R,M1-L,4.0,0.0137
10Hz,V1-R,M1-L,3.0,0.0098
10Hz,V3-L,V1-L,0.0,0.002
10Hz,V3-L,V1-L,5.0,0.0195
10Hz,VIP-L,IPL-L,8.0,0.0488
10Hz,VIP-L,IPL-L,7.0,0.0371
10Hz,VIP-L,IPL-R,7.0,0.0371
10Hz,VIP-L,PMv-R,6.0,0.0273
10Hz,VIP-L,S1-R,5.0,0.0195
10Hz,VIP-L,S1-R,8.0,0.0488
10Hz,VIP-L,V3-R,7.0,0.0371
10Hz,VIP-L,V3-R,7.0,0.0371
10Hz,VIP-R,AG-R,0.0,0.002
10Hz,VIP-R,PMv-R,6.0,0.0273
10Hz,VIP-R,PMv-R,6.0,0.0273
10Hz,VIP-R,S1-R,4.0,0.0137
10Hz,VIP-R,S1-R,3.0,0.0098
10Hz,VIP-R,VIP-L,7.0,0.0371
10Hz,VIP-R,VIP-L,4.0,0.0137
10Hz,mIPS-L,PMd-L,8.0,0.0488
10Hz,mIPS-L,PMd-L,7.0,0.0371
10Hz,mIPS-R,M1-R,5.0,0.0195
10Hz,mIPS-R,M1-R,6.0,0.0273
10Hz,mIPS-R,PMd-L,8.0,0.0488
10Hz,mIPS-R,PMd-L,8.0,0.0488
10Hz,mIPS-R,PMd-R,4.0,0.0137
10Hz,mIPS-R,PMd-R,3.0,0.0098
20Hz,AG-L,AG-R,2.0,0.0059
20Hz,AG-L,FEF-R,7.0,0.0371
20Hz,AG-L,FEF-R,7.0,0.0371
20Hz,AG-L,SMA-L,8.0,0.0488
20Hz,AG-L,STS-L,7.0,0.0371
20Hz,AG-R,PMv-L,8.0,0.0488
20Hz,AG-R,POJ-L,8.0,0.0488
20Hz,AG-R,V1-R,0.0,0.002
20Hz,AG-R,V1-R,0.0,0.002
20Hz,FEF-L,AG-R,8.0,0.0488
20Hz,FEF-L,POJ-L,5.0,0.0195
20Hz,FEF-L,POJ-L,6.0,0.0273
20Hz,FEF-L,SPL-R,8.0,0.0488
20Hz,FEF-L,SPL-R,8.0,0.0488
20Hz,FEF-L,mIPS-R,1.0,0.0039
20Hz,FEF-L,mIPS-R,4.0,0.0137
20Hz,FEF-R,IPL-L,6.0,0.0273
20Hz,FEF-R,IPL-L,8.0,0.0488
20Hz,FEF-R,S1-L,5.0,0.0195
20Hz,FEF-R,SPL-R,4.0,0.0137
20Hz,FEF-R,SPOC-L,5.0,0.0195
20Hz,FEF-R,SPOC-L,3.0,0.0098
20Hz,FEF-R,V1-L,3.0,0.0098
20Hz,IPL-L,SPOC-R,0.0,0.002
20Hz,IPL-L,SPOC-R,0.0,0.002
20Hz,IPL-L,VIP-R,7.0,0.0371
20Hz,IPL-R,FEF-R,7.0,0.0371
20Hz,IPL-R,FEF-R,7.0,0.0371
20Hz,IPL-R,V1-L,6.0,0.0273
20Hz,IPL-R,V3-L,4.0,0.0137
20Hz,M1-L,AG-R,8.0,0.0488
20Hz,M1-L,FEF-L,6.0,0.0273
20Hz,M1-L,SMA-L,6.0,0.0273
20Hz,M1-L,SMA-L,5.0,0.0195
20Hz,M1-L,SPOC-R,8.0,0.0488
20Hz,M1-R,AG-R,0.0,0.002
20Hz,M1-R,AG-R,0.0,0.002
20Hz,PMd-L,FEF-R,8.0,0.0488
20Hz,PMd-R,PMv-R,8.0,0.0488
20Hz,PMv-L,AG-L,1.0,0.0039
20Hz,PMv-L,AG-L,2.0,0.0059
20Hz,PMv-L,M1-L,1.0,0.0039
20Hz,PMv-L,M1-L,1.0,0.0039
20Hz,PMv-L,PMd-L,7.0,0.0371
20Hz,PMv-L,SPOC-R,4.0,0.0137
20Hz,PMv-L,SPOC-R,4.0,0.0137
20Hz,PMv-L,VIP-L,7.0,0.0371
20Hz,PMv-R,FEF-L,8.0,0.0488
20Hz,PMv-R,FEF-L,4.0,0.0137
20Hz,PMv-R,IPL-L,1.0,0.0039
20Hz,PMv-R,IPL-L,3.0,0.0098
20Hz,POJ-L,SPL-R,7.0,0.0371
20Hz,POJ-L,mIPS-L,6.0,0.0273
20Hz,POJ-R,mIPS-R,4.0,0.0137
20Hz,POJ-R,mIPS-R,5.0,0.0195
20Hz,S1-L,AG-L,8.0,0.0488
20Hz,S1-L,M1-L,0.0,0.002
20Hz,S1-L,V3-L,3.0,0.0098
20Hz,S1-R,IPL-R,3.0,0.0098
20Hz,S1-R,IPL-R,1.0,0.0039
20Hz,S1-R,M1-L,7.0,0.0371
20Hz,S1-R,V3-R,1.0,0.0039
20Hz,S1-R,V3-R,6.0,0.0273
20Hz,SMA-L,FEF-R,1.0,0.0039
20Hz,SMA-L,FEF-R,4.0,0.0137
20Hz,SMA-L,PMv-L,6.0,0.0273
20Hz,SMA-L,SMA-R,7.0,0.0371
20Hz,SMA-L,SMA-R,6.0,0.0273
20Hz,SMA-R,mIPS-R,7.0,0.0371
20Hz,SPL-L,AG-L,6.0,0.0273
20Hz,SPL-L,IPL-R,5.0,0.0195
20Hz,SPL-L,IPL-R,1.0,0.0039
20Hz,SPL-L,STS-L,0.0,0.002
20Hz,SPL-L,STS-L,0.0,0.002
20Hz,SPL-R,SPOC-R,0.0,0.002
20Hz,SPL-R,SPOC-R,0.0,0.002
20Hz,SPL-R,STS-L,5.0,0.0195
20Hz,SPOC-L,FEF-R,3.0,0.0098
20Hz,SPOC-L,FEF-R,3.0,0.0098
20Hz,SPOC-R,M1-L,7.0,0.0371
20Hz,SPOC-R,M1-L,8.0,0.0488
20Hz,SPOC-R,S1-L,6.0,0.0273
20Hz,SPOC-R,S1-L,5.0,0.0195
20Hz,SPOC-R,SPL-L,3.0,0.0098
20Hz,SPOC-R,SPL-L,4.0,0.0137
20Hz,STS-L,S1-L,6.0,0.0273
20Hz,STS-R,SPL-R,4.0,0.0137
20Hz,STS-R,SPL-R,6.0,0.0273
20Hz,STS-R,VIP-R,6.0,0.0273
20Hz,STS-R,mIPS-R,6.0,0.0273
20Hz,STS-R,mIPS-R,3.0,0.0098
20Hz,V1-L,AG-R,6.0,0.0273
20Hz,V1-L,STS-L,8.0,0.0488
20Hz,V1-R,M1-L,6.0,0.0273
20Hz,V1-R,M1-L,6.0,0.0273
20Hz,V3-R,S1-L,6.0,0.0273
20Hz,V3-R,STS-R,7.0,0.0371
20Hz,VIP-L,AG-L,8.0,0.0488
20Hz,VIP-L,IPL-L,7.0,0.0371
20Hz,VIP-L,S1-R,8.0,0.0488
20Hz,VIP-L,S1-R,8.0,0.0488
20Hz,VIP-L,STS-R,7.0,0.0371
20Hz,VIP-L,V3-R,6.0,0.0273
20Hz,VIP-L,V3-R,7.0,0.0371
20Hz,VIP-R,S1-R,3.0,0.0098
20Hz,VIP-R,S1-R,1.0,0.0039
20Hz,mIPS-L,PMd-L,5.0,0.0195
20Hz,mIPS-L,PMd-L,3.0,0.0098
20Hz,mIPS-L,S1-R,6.0,0.0273
20Hz,mIPS-L,V1-L,5.0,0.0195
20Hz,mIPS-L,V1-L,7.0,0.0371
20Hz,mIPS-R,M1-R,4.0,0.0137
20Hz,mIPS-R,M1-R,3.0,0.0098
20Hz,mIPS-R,PMd-R,7.0,0.0371
25Hz,AG-L,AG-R,5.0,0.0195
25Hz,AG-L,FEF-R,8.0,0.0488
25Hz,AG-L,SMA-L,5.0,0.0195
25Hz,AG-L,SPOC-R,8.0,0.0488
25Hz,AG-L,STS-L,8.0,0.0488
25Hz,AG-L,mIPS-L,8.0,0.0488
25Hz,AG-R,POJ-L,6.0,0.0273
25Hz,AG-R,V1-R,0.0,0.002
25Hz,AG-R,V1-R,1.0,0.0039
25Hz,AG-R,VIP-R,8.0,0.0488
25Hz,FEF-L,AG-R,7.0,0.0371
25Hz,FEF-L,POJ-L,6.0,0.0273
25Hz,FEF-L,POJ-L,8.0,0.0488
25Hz,FEF-L,SPL-R,7.0,0.0371
25Hz,FEF-L,V3-L,8.0,0.0488
25Hz,FEF-L,mIPS-R,6.0,0.0273
25Hz,FEF-L,mIPS-R,4.0,0.0137
25Hz,FEF-R,IPL-L,5.0,0.0195
25Hz,FEF-R,S1-L,8.0,0.0488
25Hz,FEF-R,S1-L,3.0,0.0098
25Hz,FEF-R,SPL-R,7.0,0.0371
25Hz,FEF-R,SPOC-L,5.0,0.0195
25Hz,FEF-R,SPOC-L,4.0,0.0137
25Hz,FEF-R,V1-L,6.0,0.0273
25Hz,IPL-L,M1-L,8.0,0.0488
25Hz,IPL-L,SPOC-R,0.0,0.002
25Hz,IPL-L,SPOC-R,0.0,0.002
25Hz,IPL-L,VIP-R,8.0,0.0488
25Hz,IPL-R,FEF-R,4.0,0.0137
25Hz,IPL-R,V1-L,7.0,0.0371
25Hz,IPL-R,V3-L,8.0,0.0488
25Hz,M1-L,AG-R,8.0,0.0488
25Hz,M1-L,FEF-L,6.0,0.0273
25Hz,M1-L,SMA-L,3.0,0.0098
25Hz,M1-L,SMA-L,3.0,0.0098
25Hz,M1-L,SPOC-R,8.0,0.0488
25Hz,M1-R,AG-R,0.0,0.002
25Hz,M1-R,AG-R,0.0,0.002
25Hz,M1-R,SMA-L,8.0,0.0488
25Hz,PMd-L,SMA-R,8.0,0.0488
25Hz,PMv-L,AG-L,0.0,0.002
25Hz,PMv-L,AG-L,0.0,0.002
25Hz,PMv-L,M1-L,1.0,0.0039
25Hz,PMv-L,M1-L,1.0,0.0039
25Hz,PMv-L,PMd-L,3.0,0.0098
25Hz,PMv-L,PMd-L,5.0,0.0195
25Hz,PMv-L,SPOC-R,0.0,0.002
25Hz,PMv-L,SPOC-R,0.0,0.002
25Hz,PMv-L,STS-R,8.0,0.0488
25Hz,PMv-L,VIP-L,7.0,0.0371
25Hz,PMv-R,FEF-L,5.0,0.0195
25Hz,PMv-R,FEF-L,3.0,0.0098
25Hz,PMv-R,IPL-L,5.0,0.0195
25Hz,PMv-R,IPL-L,3.0,0.0098
25Hz,PMv-R,IPL-R,8.0,0.0488
25Hz,POJ-L,SPL-R,8.0,0.0488
25Hz,POJ-L,SPL-R,4.0,0.0137
25Hz,POJ-L,mIPS-L,6.0,0.0273
25Hz,POJ-R,PMd-L,7.0,0.0371
25Hz,POJ-R,V3-L,7.0,0.0371
25Hz,POJ-R,mIPS-R,3.0,0.0098
25Hz,POJ-R,mIPS-R,5.0,0.0195
25Hz,S1-L,AG-L,8.0,0.0488
25Hz,S1-L,AG-L,7.0,0.0371
25Hz,S1-L,M1-L,6.0,0.0273
25Hz,S1-L,M1-L,1.0,0.0039
25Hz,S1-L,V3-L,2.0,0.0059
25Hz,S1-L,V3-L,6.0,0.0273
25Hz,S1-R,IPL-R,3.0,0.0098
25Hz,S1-R,IPL-R,2.0,0.0059
25Hz,S1-R,M1-L,3.0,0.0098
25Hz,S1-R,M1-L,6.0,0.0273
25Hz,S1-R,V3-R,4.0,0.0137
25Hz,SMA-L,FEF-R,1.0,0.0039
25Hz,SMA-L,FEF-R,3.0,0.0098
25Hz,SMA-L,POJ-L,8.0,0.0488
25Hz,SMA-L,SMA-R,4.0,0.0137
25Hz,SMA-L,V1-L,7.0,0.0371
25Hz,SMA-L,V3-R,8.0,0.0488
25Hz,SMA-L,V3-R,7.0,0.0371
25Hz,SMA-R,AG-R,7.0,0.0371
25Hz,SMA-R,SPOC-L,8.0,0.0488
25Hz,SMA-R,STS-L,6.0,0.0273
25Hz,SPL-L,AG-L,6.0,0.0273
25Hz,SPL-L,IPL-R,8.0,0.0488
25Hz,SPL-L,STS-L,3.0,0.0098
25Hz,SPL-L,STS-L,0.0,0.002
25Hz,SPL-R,SPOC-R,0.0,0.002
25Hz,SPL-R,SPOC-R,0.0,0.002
25Hz,SPL-R,STS-L,4.0,0.0137
25Hz,SPL-R,V1-L,6.0,0.0273
25Hz,SPOC-L,FEF-R,3.0,0.0098
25Hz,SPOC-L,FEF-R,3.0,0.0098
25Hz,SPOC-L,mIPS-L,8.0,0.0488
25Hz,SPOC-R,M1-L,7.0,0.0371
25Hz,SPOC-R,PMv-R,7.0,0.0371
25Hz,SPOC-R,S1-L,8.0,0.0488
25Hz,SPOC-R,S1-L,7.0,0.0371
25Hz,SPOC-R,SPL-L,0.0,0.002
25Hz,SPOC-R,SPL-L,1.0,0.0039
25Hz,SPOC-R,VIP-L,6.0,0.0273
25Hz,STS-L,S1-L,4.0,0.0137
25Hz,STS-R,SPL-R,2.0,0.0059
25Hz,STS-R,SPL-R,4.0,0.0137
25Hz,STS-R,VIP-R,3.0,0.0098
25Hz,STS-R,mIPS-R,3.0,0.0098
25Hz,STS-R,mIPS-R,1.0,0.0039
25Hz,V1-R,M1-L,8.0,0.0488
25Hz,V3-R,M1-R,8.0,0.0488
25Hz,V3-R,S1-L,4.0,0.0137
25Hz,VIP-L,S1-R,6.0,0.0273
25Hz,VIP-L,S1-R,8.0,0.0488
25Hz,VIP-L,STS-R,8.0,0.0488
25Hz,VIP-L,V3-R,7.0,0.0371
25Hz,VIP-R,POJ-L,7.0,0.0371
25Hz,VIP-R,S1-R,2.0,0.0059
25Hz,mIPS-L,PMd-L,6.0,0.0273
25Hz,mIPS-L,POJ-R,8.0,0.0488
25Hz,mIPS-L,V1-L,6.0,0.0273
25Hz,mIPS-L,V1-L,6.0,0.0273
25Hz,mIPS-R,M1-R,6.0,0.0273
25Hz,mIPS-R,M1-R,6.0,0.0273
25Hz,mIPS-R,PMd-L,7.0,0.0371
25Hz,mIPS-R,PMd-L,7.0,0.0371
